Station,Datum,Maxgemiddeld,Mingemiddeld,Maxwindstoot
280,20160722,   40,   10,   70
280,20160723,   50,   10,   70
280,20160724,   30,   10,   50
280,20160725,   50,    0,   90
280,20160726,   40,    0,   70
280,20160727,   70,    0,  100
280,20160728,   40,   10,   70
280,20160729,   60,   20,  110
280,20160730,   40,   10,   80
280,20160731,   50,    0,  100
280,20160801,   50,   10,   80
280,20160802,   40,   10,   70
280,20160803,   80,   20,  130
280,20160804,   70,   20,  130
280,20160805,   60,   20,  110
280,20160806,   60,   20,  100
280,20160807,   90,   20,  130
280,20160808,   80,   20,  150
280,20160809,   70,   10,  110
280,20160810,   60,   20,  140
280,20160811,   70,   20,  120
280,20160812,   60,   20,  100
280,20160813,   70,   20,  110
280,20160814,   60,    0,   90
280,20160815,   40,    0,   80
280,20160816,   40,    0,   70
280,20160817,   50,   10,   80
280,20160818,   50,   10,   70
280,20160819,   40,   10,  100
280,20160820,   70,   10,  160
280,20160821,   80,   30,  140
280,20160822,   60,   20,  100
280,20160823,   30,   10,   60
280,20160824,   50,   10,   80
280,20160825,   50,    0,   80
280,20160826,   50,    0,   80
280,20160827,   70,   10,  220
280,20160828,   80,   20,  130
280,20160829,   60,   10,   90
280,20160830,   40,   10,   70
280,20160831,   50,   10,   80
280,20160901,   40,   10,   80
280,20160902,   60,   10,  110
280,20160903,   50,   10,  100
280,20160904,   80,   30,  150
280,20160905,   30,   10,   60
280,20160906,   50,    0,   80
280,20160907,   20,   10,   50
280,20160908,   60,   20,   90
280,20160909,   50,   10,   80
280,20160910,   40,   10,   70
280,20160911,   30,   10,   60
280,20160912,   30,    0,   60
280,20160913,   30,   10,   60
280,20160914,   40,   20,   70
280,20160915,   50,   20,  100
280,20160916,   50,   10,   80
280,20160917,   40,   10,   70
280,20160918,   50,   20,   80
280,20160919,   30,    0,   70
280,20160920,   30,    0,   50
280,20160921,   30,    0,   60
280,20160922,   40,    0,   70
280,20160923,   50,   10,   80
280,20160924,   70,    0,  110
280,20160925,   50,   10,  110
280,20160926,   30,    0,   50
280,20160927,   60,    0,  100
280,20160928,   90,   50,  140
280,20160929,   90,   30,  200
280,20160930,   60,   10,  120
280,20161001,   40,   10,   70
280,20161002,   50,   10,  100
280,20161003,   60,   10,  110
280,20161004,   60,   30,  110
280,20161005,   70,   30,  100
280,20161006,   60,   20,  100
280,20161007,   50,   20,   90
280,20161008,   40,   10,   80
280,20161009,   30,    0,   50
280,20161010,   30,    0,   50
280,20161011,   60,    0,   90
280,20161012,   60,   20,  100
280,20161013,   60,   40,  110
280,20161014,   70,   40,  110
280,20161015,   50,   10,   80
280,20161016,   40,   10,   80
280,20161017,   50,   10,   80
280,20161018,   80,   20,  170
280,20161019,   50,   10,   80
280,20161020,   40,   10,   80
280,20161021,   40,   10,   70
280,20161022,   30,    0,   50
280,20161023,   30,   10,   50
280,20161024,   60,   20,   90
280,20161025,   40,    0,   60
280,20161026,   40,    0,   70
280,20161027,   70,   30,  110
280,20161028,   60,   20,  100
280,20161029,   50,   10,   90
280,20161030,   30,   10,   40
280,20161031,   30,   10,   40
280,20161101,   50,   20,  110
280,20161102,   60,   10,  120
280,20161103,   50,   10,   80
280,20161104,   70,   20,  100
280,20161105,   50,   30,   90
280,20161106,   60,   10,   90
280,20161107,   70,   10,  100
280,20161108,   30,    0,   60
280,20161109,   40,   20,   70
280,20161110,   50,   10,   90
280,20161111,   60,   10,  110
280,20161112,   50,   10,   80
280,20161113,   30,   10,   70
280,20161114,   60,   10,   90
280,20161115,   60,   20,   90
280,20161116,   80,   20,  150
280,20161117,  110,   30,  200
280,20161118,   80,   50,  140
280,20161119,   80,   30,  170
280,20161120,  170,   30,  250
280,20161121,   60,   20,  110
280,20161122,   60,   20,  110
280,20161123,   40,   10,   70
280,20161124,   70,   30,  110
280,20161125,   50,   30,   70
280,20161126,   40,   10,   50
280,20161127,   50,   10,  100
280,20161128,   40,    0,   60
280,20161129,   40,    0,   60
280,20161130,   60,   40,  100
280,20161201,   70,   40,  140
280,20161202,   50,   10,   90
280,20161203,   20,   10,   30
280,20161204,   30,   10,   40
280,20161205,   20,    0,   30
280,20161206,   30,    0,   50
280,20161207,   70,   20,  110
280,20161208,   70,   40,  120
